,max_force,max_lenght,max_time,section_area,is_valid
3-1,922.5591,2.064367,123.86,30,False
3-10,871.8252,2.029167,121.75,30,True
3-2,879.5913,1.945533,116.73,30,True
3-3,831.2734,1.874533,112.47,30,True
3-4,810.5214,1.835533,110.13,30,False
3-5,826.3668,1.999033,119.94,30,True
3-6,834.9133,1.8574,111.44,30,False
3-7,907.3512,2.056533,123.39,30,False
3-8,926.6042,2.097533,125.85,30,False
3-9,871.9587,1.943533,116.61,30,True
4-1,1032.586,2.087867,125.27,40,False
4-2,1000.365,1.9077,114.46,40,True
5-1,1406.226,2.587367,155.24,50,False
5-10,1385.763,2.580033,154.8,50,True
5-2,1308.444,2.331033,139.86,50,False
5-3,1337.121,2.347167,140.83,50,False
5-4,1458.035,2.6607,159.64,50,False
5-5,1391.226,2.514367,150.86,50,False
5-6,1357.471,2.421067,145.26,50,True
5-7,1414.957,2.5064,150.38,50,True
5-8,1367.868,2.397867,143.87,50,False
5-9,1360.935,2.478367,148.7,50,False
6-1,1636.944,2.863867,171.83,60,True
6-10,1591.741,2.665367,159.92,60,False
6-2,1672.614,2.947867,176.87,60,False
6-3,1667.053,2.858033,171.48,60,True
6-4,1734.743,2.9527,177.16,60,False
6-5,1685.746,2.929033,175.74,60,False
6-6,1590.516,2.558533,153.51,60,False
6-7,1576.301,2.544567,152.67,60,False
6-8,1617.316,2.651033,159.06,60,True
6-9,1564.711,2.493233,149.59,60,True
7-1,1865.088,2.910867,174.65,70,True
7-10,1829.489,3.0022,180.13,70,False
7-2,1815.942,2.866867,172.01,70,False
7-3,1891.834,2.960033,177.6,70,True
7-4,1828.607,2.729533,163.77,70,False
7-5,1792.026,2.732233,163.93,70,False
7-6,1877.844,2.973667,178.42,70,False
7-7,1821.631,2.9787,178.72,70,True
7-8,1783.597,2.732367,163.94,70,True
7-9,1818.671,2.9637,177.82,70,True
